/-----------------------------------------
| State-action rewards from Q-Learning
\-----------------------------------------

State(waypoint='left', lights='green', left='forward', oncoming='left')
 -- forward : 0.00
 -- right : 0.85
 -- None : 0.00
 -- left : 0.00

State(waypoint='right', lights='green', left='forward', oncoming='forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

State(waypoint='right', lights='green', left='left', oncoming='right')
 -- forward : 0.75
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

State(waypoint='left', lights='red', left='forward', oncoming='forward')
 -- forward : -20.42
 -- right : -10.11
 -- None : 0.00
 -- left : 0.00

State(waypoint='right', lights='red', left='forward', oncoming=None)
 -- forward : 0.00
 -- right : -9.59
 -- None : -0.23
 -- left : 0.00

State(waypoint='forward', lights='red', left='forward', oncoming='right')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.89
 -- left : 0.00

State(waypoint='right', lights='green', left='forward', oncoming='right')
 -- forward : 0.26
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

State(waypoint='left', lights='green', left='left', oncoming=None)
 -- forward : 0.00
 -- right : 0.43
 -- None : -3.97
 -- left : 2.09

State(waypoint='left', lights='red', left='right', oncoming='left')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

State(waypoint='forward', lights='green', left=None, oncoming='left')
 -- forward : 1.54
 -- right : 0.00
 -- None : -2.27
 -- left : -0.01

State(waypoint='right', lights='red', left='right', oncoming=None)
 -- forward : -7.79
 -- right : 0.00
 -- None : 0.07
 -- left : -5.46

State(waypoint='forward', lights='red', left=None, oncoming='forward')
 -- forward : 0.00
 -- right : 0.94
 -- None : 1.91
 -- left : -7.20

State(waypoint='left', lights='green', left='right', oncoming='left')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

State(waypoint='left', lights='red', left=None, oncoming='right')
 -- forward : 0.00
 -- right : 0.20
 -- None : 0.00
 -- left : 0.00

State(waypoint='forward', lights='green', left='left', oncoming='left')
 -- forward : 1.29
 -- right : 0.44
 -- None : 0.00
 -- left : 0.00

State(waypoint='right', lights='green', left=None, oncoming='left')
 -- forward : -0.15
 -- right : 1.77
 -- None : -2.99
 -- left : 0.74

State(waypoint='left', lights='green', left='left', oncoming='left')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : 0.79

State(waypoint='forward', lights='green', left='right', oncoming='forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

State(waypoint='forward', lights='red', left=None, oncoming=None)
 -- forward : -10.34
 -- right : 0.82
 -- None : 1.94
 -- left : -9.31

State(waypoint='left', lights='green', left=None, oncoming=None)
 -- forward : 0.71
 -- right : 0.70
 -- None : -4.91
 -- left : 1.50

State(waypoint='left', lights='red', left=None, oncoming='forward')
 -- forward : -22.52
 -- right : 0.78
 -- None : 0.00
 -- left : 0.00

State(waypoint='right', lights='green', left='left', oncoming='left')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

State(waypoint='forward', lights='red', left=None, oncoming='right')
 -- forward : 0.00
 -- right : 0.63
 -- None : 2.12
 -- left : -19.80

State(waypoint='left', lights='red', left='left', oncoming='left')
 -- forward : 0.00
 -- right : 0.53
 -- None : 0.00
 -- left : -4.72

State(waypoint='left', lights='green', left='right', oncoming=None)
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : 1.17

State(waypoint='right', lights='red', left=None, oncoming=None)
 -- forward : -24.30
 -- right : 2.63
 -- None : 1.23
 -- left : -9.97

State(waypoint='left', lights='red', left=None, oncoming='left')
 -- forward : -20.15
 -- right : 0.06
 -- None : 1.40
 -- left : -7.83

State(waypoint='forward', lights='red', left='left', oncoming='forward')
 -- forward : -14.80
 -- right : 0.45
 -- None : 1.58
 -- left : -4.64

State(waypoint='right', lights='green', left=None, oncoming='right')
 -- forward : -0.01
 -- right : 0.00
 -- None : 0.00
 -- left : -10.40

State(waypoint='forward', lights='green', left='forward', oncoming=None)
