trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9900498337491681}",25,0,-210.42720031381015,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.9801986733067553}",20,0,-89.91445532887613,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,0,-46.287506541609375,"{0: 12, 1: 6, 2: 1, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9607894391523232}",35,0,-187.0852969001914,"{0: 22, 1: 6, 2: 2, 3: 2, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.951229424500714}",20,0,-63.448516894085735,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9417645335842487}",25,0,-184.73032894912905,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.9323938199059483}",25,0,-224.6772434767408,"{0: 10, 1: 4, 2: 5, 3: 4, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9231163463866358}",20,0,-59.561251592224835,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9139311852712282}",30,0,-194.18652086943814,"{0: 16, 1: 2, 2: 6, 3: 5, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9048374180359596}",25,0,-123.23498522654519,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8958341352965282}",30,0,-112.1482517853794,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.8869204367171575}",20,0,-52.68685994591132,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8780954309205613}",25,5,-9.522709609257028,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.8693582353988059}",25,0,-91.53214686649872,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8607079764250578}",20,0,-141.967238593572,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.8521437889662113}",20,14,10.445966066834279,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.8436648165963837}",20,11,-18.739515017255826,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.835270211411272}",25,0,-124.48820694293022,"{0: 13, 1: 5, 2: 4, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8269591339433623}",20,0,-114.3617492128365,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8187307530779818}",25,0,-106.99847458597733,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.8105842459701871}",20,0,-105.26735358630482,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.8025187979624785}",20,0,-67.51714410538095,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.794533602503334}",25,0,-165.97034350064578,"{0: 17, 1: 3, 2: 0, 3: 1, 4: 4}",0
24,False,"{'a': 0.5, 'e': 0.7866278610665535}",25,0,-89.33182713798355,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
